fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
loop done (bsc,base): 72 cycles, 0 errors, 19.0 min
