fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
base: pools watched: 10, reserves read: 10, ETH=$2401.1 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.6 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.1 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.6 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.1 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.6 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.1 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.6 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.1 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.6 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.1 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.1 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.6 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.1 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.6 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.1 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.6 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.1 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.6 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.1 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.6 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.2 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.6 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.2 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.6 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.2 -> base_flow.jsonl (lp-gated: 279 known)
fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1014 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.2 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1014 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.2 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1014 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.2 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1014 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.2 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1014 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.2 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1014 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.2 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1014 known)
base: pools watched: 10, reserves read: 10, ETH=$2401.3 -> base_flow.jsonl (lp-gated: 279 known)
