fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 1, reserves read: 1, BNB=$721.8 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.7 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.8 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.7 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.8 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.7 -> base_flow.jsonl (lp-gated: 324 known)
HTTP 429 for https://api.geckoterminal.com/api/v2/networks/bsc/new_pools?page=1
fast_discover: 20 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 1, reserves read: 1, BNB=$721.8 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.7 -> base_flow.jsonl (lp-gated: 325 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.8 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.7 -> base_flow.jsonl (lp-gated: 325 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.8 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.7 -> base_flow.jsonl (lp-gated: 325 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.9 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.7 -> base_flow.jsonl (lp-gated: 325 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.9 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.7 -> base_flow.jsonl (lp-gated: 325 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.9 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.7 -> base_flow.jsonl (lp-gated: 325 known)
