tracking 29 hits

name                   chain    status  exit      FR  peak   now        ret
XCHAT / WETH           base     open    None      T   2179.8x 2179.8x +54508%
BSX / WETH             eth      closed  trail     F     1.0x   0.0x   -100%
Markiplier / SOL       solana   closed  timestop  F     1.0x   1.0x     +0%
SPACEX / WETH          base     open    None      T   3792.5x 3792.5x +94824%
CHUBBY / WETH          base     closed  timestop  F    48.6x  48.6x  +4757%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
QSB / WETH             base     closed  timestop  F     1.0x   0.0x     -0%
U1 / WETH              base     open    None      T   3071.5x 3071.5x +76801%
CS / WBNB              bsc      open    None      T     1.5x   1.5x    +51%
1KTO100M / WETH        base     open    None      T   1306.0x 1306.0x +32664%
土豆 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
BULLBRAIN / WBNB       bsc      closed  timestop  F     1.0x   0.0x     +0%
GARFI / WETH           base     open    None      T   4329.3x 4329.3x +108246%
1 / SOL                solana   closed  timestop  F     1.0x   1.0x     +1%
Eugpt / SOL            solana   closed  timestop  F     1.0x   1.0x     +0%
BULL / WBNB            bsc      closed  timestop  F     1.4x   1.0x    +40%
CCE / WETH             eth      closed  timestop  F     1.0x   1.0x     +0%
AuraBattles / WETH     eth      closed  timestop  F     1.0x   1.0x     +0%
Kharg / SOL            solana   closed  timestop  F     1.0x   1.0x     +0%
我的景甜女友 / USDT          bsc      closed  timestop  F     1.0x   1.0x     +0%
💯BAB / WBNB            bsc      closed  timestop  F     1.1x   0.8x    +14%
ESO / WETH             eth      closed  trail     F     1.0x   0.0x   -100%
USMS / SOL             solana   closed  trail     T     6.0x   0.0x    +12%
我的女友景甜 / USDC          base     closed  trail     F     1.0x   0.6x    -78%
GPRO / WETH            eth      closed  trail     F     1.4x   0.0x   -100%
GPRO / WETH 0.01%      base     closed  timestop  F     1.0x   1.0x     +0%
1KTO100M / WETH        base     closed  trail     T   1829.4x  42.3x  +1070%
COPPERBULL / SOL       solana   closed  timestop  F     1.0x   1.0x     +0%
WOODY / WETH 0.3%      base     closed  timestop  F     1.0x   1.0x     +0%
GROKCAT / WETH         base     closed  timestop  F     1.2x   0.0x    +20%
BR / WBNB              bsc      closed  timestop  F     1.1x   1.1x    +13%
ROBBIE / SOL           solana   closed  timestop  F     1.0x   0.8x     +0%
CALLOUT / SOL          solana   closed  timestop  F     1.0x   0.9x     -5%
SRK / WETH             eth      closed  timestop  F     1.0x   1.0x     +0%
🚀ROCK / WBNB           bsc      closed  trail     F     1.0x   0.0x   -100%
WIFE / WETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
1KTO100M / WETH        base     closed  trail     T   2952.1x   1.0x    +38%
我的景甜女友 / USDT          bsc      closed  timestop  F     1.0x   1.0x     +0%
FSD / WETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
Fomo / WETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
PPAP / WETH            base     closed  timestop  F     1.0x   0.0x     -1%
MEGA / WBNB            bsc      open    None      T     1.9x   1.9x    +61%
豹拉牛来 / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
SAF / WBNB             bsc      closed  timestop  F     2.8x   2.8x     +0%
豹拉牛来 / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
BALL / WETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
GOLDDIGGER / WETH 0.   base     closed  timestop  F     1.0x   1.0x     +0%
CLANKER / ETH 0.3%     base     closed  timestop  F     1.0x   1.0x     +0%
Palshel / SOL          solana   closed  timestop  F     1.0x   1.0x     +0%
SHIBUKI / WBNB         bsc      closed  timestop  F     1.0x   1.0x     +0%
XCX / ETH 0.05%        base     closed  timestop  F     1.0x   1.0x     +0%
FINORA 2.0 / WBNB      bsc      closed  timestop  F     1.0x   1.0x     -1%
ROBINHOUSE / ETH 0.3   base     closed  timestop  F     1.2x   1.2x    +20%
RobinDex / ETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
ANTHROPIC / WETH       base     open    None      T   1537.2x 1537.2x +38443%
RHTYJTYRJRTE / ETH 0   base     closed  timestop  F     1.0x   1.0x     +0%
HYNIX / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
CZ / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
肥嘟嘟 / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
我的女友景甜 / USDC          base     closed  timestop  F     1.0x   1.0x     -0%
FGL / ETH 0.3%         base     closed  timestop  F     1.0x   0.8x     +0%
PAN / WBNB             bsc      closed  timestop  F     1.0x   1.0x     +0%
我的女友景甜 / USDT          bsc      closed  timestop  F     1.0x   1.0x     +0%
OMNI / ETH 0.3%        base     closed  timestop  F     1.0x   0.9x     +0%
好运来 / SOL              solana   closed  timestop  F     1.0x   1.0x     +0%
SUPER / ETH 0.3%       base     closed  timestop  F     1.0x   0.8x     +0%
1KTO100M / WETH        base     open    None      T   2279.4x 2279.4x +56997%
孙哥人生 / SOL             solana   open    None      T     2.9x   2.9x    +86%
旺财 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
DINAR / WBNB           bsc      closed  timestop  F   18499060359.1x 18499060359.1x     +0%
MAGIC / USDC           base     open    None      T     9.5x   9.5x   +249%
XCAT / WETH            eth      closed  trail     F     1.0x   0.0x   -100%
GOAT / WETH            base     closed  timestop  F     1.0x   0.0x     -0%
ARROW / SOL            solana   closed  trail     F     1.2x   0.0x   -100%
孙小圣 / USDC             base     closed  timestop  F     1.0x   1.0x     +0%
MarsCoin / SOL         solana   open    None      T     2.4x   2.4x    +73%
AI / WETH              eth      closed  trail     T     1.6x   1.6x    +13%
CLA / WBNB             bsc      closed  timestop  F     1.0x   1.0x     +0%
fone / SOL             solana   closed  trail     F     1.0x   0.0x    -85%
本命年币 / WBNB            bsc      closed  timestop  F     1.4x   1.4x    +40%
蝴蝶托底协议 / WBNB          bsc      closed  timestop  F     1.0x   1.0x     +0%
O1DOLL / WETH          base     closed  trail     F     1.0x   0.0x    -72%
PEPEFART / SOL         solana   closed  timestop  F     1.0x   1.0x     +3%
ZIPCAT / WBNB          bsc      closed  timestop  F   23701352457.5x 23701352457.5x     +0%
FIDEL / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
SPACEX / WETH          base     closed  trail     F     1.0x   1.0x   -100%
FINORA 2.0 / WBNB      bsc      closed  timestop  F     1.0x   1.0x     +0%
HERCULES / ETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
Kalshi / ETH 0.3%      base     closed  timestop  F     1.0x   1.0x     +0%
LONGXAI / ETH 0.3%     base     closed  timestop  F     1.0x   1.0x     +0%
WYNX / SOL             solana   closed  timestop  F    11.0x  11.0x     +8%
GOOGL / SOL            solana   closed  timestop  F     1.0x   1.0x     +0%
ZBCN / SOL             solana   closed  timestop  F     1.0x   1.0x     +0%
Ztrpr / SOL            solana   closed  timestop  F     1.0x   1.0x     +0%
我的景甜女友 / USDT          bsc      closed  timestop  F     1.0x   1.0x     +0%
CATE / WETH            eth      closed  trail     T   313.2x   1.0x    +38%
🤑旺财币 / WBNB            bsc      closed  timestop  F     1.0x   0.8x    -22%
处女座属 / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
Elon Musk / ETH 0.3%   base     closed  timestop  F     1.0x   1.0x     +0%
DiamondPepe / WETH 0   base     closed  timestop  F     1.1x   1.1x    +11%
CatchCat / USDT        bsc      closed  timestop  F   1861917.4x 1861917.4x     +0%
占卜招财 / WBNB            bsc      closed  timestop  F     6.3x   1.7x   +533%
钻石以太🌟 / WBNB           bsc      closed  timestop  F     1.2x   1.2x    +16%
BNBF / WBNB            bsc      closed  timestop  F     2.4x   2.4x   +137%
SOLCHAN / SOL          solana   closed  timestop  F     1.0x   1.0x     -1%
ALD / WBNB             bsc      closed  trail     F     1.0x   0.0x   -100%
JAPPLE / ETH           eth      closed  timestop  F     1.0x   1.0x     -5%
BINA / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
cbHYPE / ETH 0.3%      base     closed  timestop  F     1.0x   1.0x     -1%
DICKBUTT / WETH        eth      closed  trail     F     1.0x   0.0x   -100%
PV / WBNB              bsc      closed  timestop  F     1.3x   1.0x     +0%
onboard / SOL          solana   closed  timestop  F     1.0x   1.0x     +0%
蝴蝶托底协议 / WBNB          bsc      closed  timestop  F     1.0x   0.0x     +0%
H20 / WETH             eth      closed  timestop  F     1.0x   1.0x     +0%
$1 / WETH              base     closed  timestop  F     1.0x   1.0x     +0%
$1 / WETH              base     closed  timestop  F     1.0x   1.0x     +0%
Pumpcat / SOL          solana   closed  timestop  F     1.0x   1.0x     -1%
SLOP / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
PPAP / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
MICROPENIS / ETH 0.3   base     closed  timestop  F     1.0x   1.0x     +0%
CASHOCTOPUS / ETH 0.   base     closed  timestop  F     1.0x   1.0x     +0%
KARL / ETH 0.3%        base     closed  timestop  F     1.0x   1.0x     +0%
MONITORING / ETH 0.3   base     closed  timestop  F     1.0x   1.0x     +0%
摩羯座月 / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
AST / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
孙小圣 / USDT             bsc      closed  timestop  F   1083979.6x 1083979.6x     +0%
SKYAI / WBNB           bsc      closed  trail     F     1.0x   0.0x   -100%
LENS / WETH            eth      closed  trail     F     1.0x   0.0x   -100%
CRYPTOCRATS / ETH 0.   base     closed  timestop  F     1.0x   0.7x     +0%
OpenAI / USDC          base     closed  timestop  F     1.0x   1.0x     +3%
TOAD / ETH 0.3%        base     closed  timestop  F     1.0x   0.7x     +0%
GDP / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
Tesla AI / SOL         solana   closed  timestop  F     1.0x   1.0x     -1%
USMS / SOL             solana   closed  trail     T     2.0x   0.0x    +12%
JOEING / ETH 0.3%      base     closed  timestop  F     1.0x   0.7x     +0%
DEBTC / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
Bros / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
Bros / USDC            base     closed  timestop  F     1.0x   1.0x     +0%
SNAKE / SOL            solana   closed  trail     F     1.0x   0.0x   -100%
