fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 19, reserves read: 19, BNB=$691.3 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 183 known)
bsc: pools watched: 19, reserves read: 19, BNB=$691.3 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 183 known)
HTTP 429 for https://api.geckoterminal.com/api/v2/networks/bsc/new_pools?page=1
fast_discover: 20 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 19, reserves read: 19, BNB=$691.3 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 184 known)
bsc: pools watched: 19, reserves read: 19, BNB=$691.3 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 184 known)
bsc: pools watched: 19, reserves read: 19, BNB=$691.2 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 184 known)
bsc: pools watched: 19, reserves read: 19, BNB=$691.2 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 184 known)
bsc: pools watched: 19, reserves read: 19, BNB=$691.3 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 184 known)
loop done (bsc,base): 125 cycles, 0 errors, 19.0 min
